id,name,team,position,y1_points,y1_rank,y2_points,y2_rank,y3_points,y3_rank,y1_average,y2_average,y3_average,y1_games,y2_games,y3_games,y1_price,y2_price,y3_price
203648,Thanasis Antetokounmpo,Milwaukee Bucks,F,489.0,357,551.0,323,151.0,332,10.2,9.7,7.6,48,57,20,0,7,0
1630177,Theo Maledon,Oklahoma City Thunder,G,906.0,294,1581.0,156,0.0,365,17.8,24.3,0.0,51,65,0,0,0,0
1629033,Theo Pinson,Dallas Mavericks,G-F,140.0,432,1.0,432,327.0,310,7.4,0.1,9.9,19,17,33,0,0,0
1628418,Thomas Bryant,Los Angeles Lakers,C-F,548.5,346,371.0,346,1835.5,129,20.3,37.1,39.9,27,10,46,0,21,27
203501,Tim Hardaway Jr.,Dallas Mavericks,G-F,1247.5,236,2195.5,93,2159.0,92,29.7,31.4,30.4,42,70,71,0,25,0
1627789,Timothe Luwawu-Cabarrot,Atlanta Hawks,G-F,538.5,349,825.0,284,742.5,259,10.4,14.2,15.8,52,58,47,0,0,0
202699,Tobias Harris,Philadelphia 76ers,F,3199.0,44,3089.0,35,3367.0,25,43.8,49.8,46.8,73,62,72,45,40,30
203107,Tomas Satoransky,Washington Wizards,G,890.5,296,1495.5,174,2137.5,96,16.2,25.8,32.9,55,58,65,0,1,1
1628396,Tony Bradley,Chicago Bulls,C-F,664.5,332,1018.0,248,1012.0,231,12.1,24.2,17.4,55,42,58,0,0,0
203503,Tony Snell,New Orleans Pelicans,G,480.0,361,702.0,305,1196.5,213,9.1,14.9,20.3,53,47,59,0,0,0
1628470,Torrey Craig,Phoenix Suns,F,1508.5,195,928.5,266,983.5,233,19.3,18.6,17.0,78,50,58,0,0,0
1629027,Trae Young,Atlanta Hawks,G,5307.5,4,3961.5,11,4106.5,9,69.8,62.9,68.4,76,63,60,130,170,90
1630200,Tre Jones,San Antonio Spurs,G,1449.0,210,263.0,373,0.0,365,21.0,7.1,0.0,69,37,0,0,0,0
1630544,Tre Mann,Oklahoma City Thunder,G,1298.5,231,0.0,433,0.0,365,21.6,0.0,0.0,60,0,0,0,0,0
1629682,Tremont Waters,Washington Wizards,G,38.0,473,312.0,362,101.5,339,12.7,12.0,9.2,3,26,11,0,0,0
1630570,Trendon Watford,Portland Trail Blazers,F,1110.5,257,0.0,433,0.0,365,23.1,0.0,0.0,48,0,0,0,0,0
1630235,Trent Forrest,Atlanta Hawks,G,682.5,327,289.0,367,0.0,365,11.4,9.6,0.0,60,30,0,0,0,0
1630243,Trevelin Queen,Philadelphia 76ers,G,98.0,446,0.0,433,0.0,365,9.8,0.0,0.0,10,0,0,0,0,0
2772,Trevor Ariza,Los Angeles Lakers,F,307.0,395,816.5,285,1244.5,208,12.8,27.2,23.5,24,30,53,0,0,0
203504,Trey Burke,Houston Rockets,G,444.5,367,900.5,270,633.0,272,10.6,14.5,19.2,42,62,33,0,0,0
1626168,Trey Lyles,Sacramento Kings,F,1885.5,147,310.5,363,1305.0,201,25.1,13.5,20.7,75,23,63,0,0,0
1630530,Trey Murphy III,New Orleans Pelicans,F,800.5,307,0.0,433,0.0,365,12.9,0.0,0.0,62,0,0,0,0,0
202684,Tristan Thompson,Chicago Bulls,C-F,1061.5,266,1499.0,173,2445.5,68,18.6,27.8,42.9,57,54,57,0,4,1
1628972,Troy Brown Jr.,Los Angeles Lakers,G-F,874.0,298,425.0,334,2081.5,104,13.2,12.5,30.2,66,34,69,0,0,0
1629660,Ty Jerome,Oklahoma City Thunder,G-F,832.0,304,888.0,272,305.5,313,17.3,26.9,9.9,48,33,31,0,0,0
1630189,Tyler Bey,Houston Rockets,F,0.0,500,53.5,419,0.0,365,0.0,3.0,0.0,0,18,0,0,0,0
