,points,points,points,average,average,average,games,games,games,price,price,price
season,2021-2022,2020-2021,2019-2020,2021-2022,2020-2021,2019-2020,2021-2022,2020-2021,2019-2020,2021-2022,2020-2021,2019-2020
name,,,,,,,,,,,,
Jalen McDaniels,939.5,919.5,253.5,17.1,19.6,15.8,55.0,47.0,16.0,0.0,0.0,0.0
Jalen Smith,1356.0,140.0,0.0,26.6,5.2,0.0,51.0,27.0,0.0,0.0,0.0,0.0
Jalen Suggs,1402.0,0.0,0.0,29.2,0.0,0.0,48.0,0.0,0.0,5.0,0.0,0.0
Jamal Murray,0.0,2316.5,2572.5,0.0,48.3,43.6,0.0,48.0,59.0,0.0,89.0,11.0
James Bouknight,316.0,0.0,0.0,10.2,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
James Harden,4524.5,3478.5,5296.0,69.6,79.1,77.9,65.0,44.0,68.0,188.0,192.0,187.0
James Johnson,1199.0,1128.0,814.5,19.3,22.1,25.5,62.0,51.0,32.0,0.0,0.0,0.0
James Wiseman,0.0,1089.0,0.0,0.0,27.9,0.0,0.0,39.0,0.0,0.0,3.0,0.0
Jamorko Pickett,134.5,0.0,0.0,10.3,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
Jared Butler,433.0,0.0,0.0,10.3,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0
Jared Harper,106.5,0.0,1.0,21.3,0.0,0.3,5.0,8.0,3.0,0.0,0.0,0.0
Jaren Jackson Jr.,3242.0,398.0,2231.0,41.6,36.2,39.1,78.0,11.0,57.0,46.0,14.0,36.0
Jarred Vanderbilt,2261.0,1493.0,34.5,30.6,23.3,3.1,74.0,64.0,11.0,0.0,0.0,0.0
Jarrett Allen,3002.5,2817.5,2975.5,53.6,44.7,42.5,56.0,63.0,70.0,47.0,23.0,4.0
Jarrett Culver,341.5,471.0,1457.5,9.2,13.9,23.1,37.0,34.0,63.0,0.0,0.0,0.0
Javin DeLaurier,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Javonte Green,1479.0,420.5,470.0,22.8,10.3,9.8,65.0,41.0,48.0,0.0,0.0,0.0
Javonte Smart,136.5,0.0,0.0,8.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
Jaxson Hayes,1785.0,1279.5,1436.0,25.5,21.3,22.4,70.0,60.0,64.0,0.0,0.0,0.0
Jay Huff,10.0,0.0,0.0,2.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Jay Scrubb,110.5,62.5,0.0,6.1,15.6,0.0,18.0,4.0,0.0,0.0,0.0,0.0
Jaylen Brown,3292.0,3089.0,2474.5,49.9,53.3,43.4,66.0,58.0,57.0,0.0,52.0,0.0
Jaylen Nowell,1272.0,840.0,138.0,20.5,20.0,9.2,62.0,42.0,15.0,0.0,0.0,0.0
Jayson Tatum,4601.0,3785.0,3505.5,60.5,59.1,53.1,76.0,64.0,66.0,121.0,124.0,50.0
Jeff Dowtin,80.0,0.0,0.0,8.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
Jeff Green,1695.0,1756.0,980.0,22.6,25.8,20.4,75.0,68.0,48.0,0.0,0.0,0.0
Jerami Grant,1912.0,2479.5,1988.0,40.7,45.9,28.0,47.0,54.0,71.0,43.0,9.0,0.0
Jeremiah Robinson-Earl,1060.0,0.0,0.0,21.6,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0
Jeremy Lamb,1025.5,951.0,1444.0,18.3,26.4,31.4,56.0,36.0,46.0,0.0,0.0,2.0
Jericho Sims,512.0,0.0,0.0,12.5,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0
Jevon Carter,790.5,720.0,900.0,12.0,12.0,15.5,66.0,60.0,58.0,0.0,0.0,0.0
Jimmy Butler,3277.5,3381.0,3317.5,57.5,65.0,57.2,57.0,52.0,58.0,106.0,111.0,85.0
Jock Landale,725.0,0.0,0.0,13.4,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0
Joe Harris,320.5,2132.5,2147.5,22.9,30.9,31.1,14.0,69.0,69.0,0.0,2.0,1.0
Joe Ingles,958.0,2215.5,2207.0,21.3,33.1,30.7,45.0,67.0,72.0,0.0,3.0,2.0
Joe Wieskamp,133.5,0.0,0.0,4.6,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
Joel Ayayi,14.5,0.0,0.0,2.1,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
Joel Embiid,5341.5,3563.0,3229.5,78.6,69.9,63.3,68.0,51.0,51.0,125.0,155.0,170.0
John Collins,2412.5,2798.0,2457.5,44.7,44.4,59.9,54.0,63.0,41.0,58.0,112.0,68.0
John Konchar,1399.0,637.0,225.0,19.4,14.8,11.8,72.0,43.0,19.0,0.0,0.0,0.0
John Wall,0.0,1974.0,0.0,0.0,49.4,0.0,0.0,40.0,0.0,0.0,56.0,0.0
Jon Teske,6.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Jonas Valanciunas,4013.0,3557.0,3457.5,54.2,57.4,49.4,74.0,62.0,70.0,54.0,56.0,3.0
Jonathan Isaac,0.0,0.0,1404.5,0.0,0.0,41.3,0.0,0.0,34.0,0.0,0.0,5.0
Jonathan Kuminga,1430.5,0.0,0.0,20.4,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0
Jordan Bell,5.0,86.5,291.0,5.0,14.4,10.0,1.0,6.0,29.0,0.0,0.0,0.0
Jordan Clarkson,2524.0,2431.0,2094.5,31.9,35.8,29.5,79.0,68.0,71.0,3.0,5.0,0.0
Jordan Goodwin,-1.0,0.0,0.0,-0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Jordan McLaughlin,1028.0,1033.0,770.5,16.6,20.3,25.7,62.0,51.0,30.0,0.0,0.0,0.0
Jordan Nwora,1112.0,386.5,0.0,17.9,12.9,0.0,62.0,30.0,0.0,0.0,0.0,0.0
Jordan Poole,2935.5,1204.5,1059.0,38.6,23.6,18.6,76.0,51.0,57.0,9.0,0.0,0.0
Jordan Schakel,12.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Jose Alvarado,1123.5,0.0,0.0,20.8,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0
Josh Christopher,1433.0,0.0,0.0,19.4,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0
Josh Giddey,2367.5,0.0,0.0,43.8,0.0,0.0,54.0,0.0,0.0,1.0,0.0,0.0
Josh Green,986.0,335.5,0.0,14.7,8.6,0.0,67.0,39.0,0.0,0.0,0.0,0.0
Josh Hart,2291.0,1423.0,1859.0,42.4,30.3,28.6,54.0,47.0,65.0,0.0,0.0,0.0
Josh Jackson,788.0,1855.0,465.5,15.5,29.9,21.2,51.0,62.0,22.0,0.0,0.0,0.0
Josh Okogie,413.5,976.0,1451.5,8.4,16.5,23.4,49.0,59.0,62.0,0.0,0.0,0.0
Josh Richardson,1605.5,1727.0,1746.5,24.7,29.3,31.8,65.0,59.0,55.0,0.0,4.0,3.0
Joshua Primo,749.5,0.0,0.0,15.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
Jrue Holiday,3495.0,3042.0,3249.0,52.2,51.6,53.3,67.0,59.0,61.0,32.0,78.0,79.0
Juan Toscano-Anderson,1011.5,1198.5,249.5,13.9,22.6,19.2,73.0,53.0,13.0,0.0,0.0,0.0
Juancho Hernangomez,397.5,864.0,783.5,9.9,16.6,16.3,40.0,52.0,48.0,0.0,0.0,0.0
Julius Randle,3846.5,4562.0,3156.5,53.4,64.3,49.3,72.0,71.0,64.0,119.0,39.0,51.0
Justin Champagnie,275.5,0.0,0.0,7.7,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0
Justin Holiday,1685.5,1880.5,1690.5,22.8,26.1,23.2,74.0,72.0,73.0,0.0,0.0,0.0
Justin Robinson,186.0,59.5,40.5,7.4,6.6,4.5,25.0,9.0,9.0,0.0,0.0,0.0
Justise Winslow,950.0,501.5,361.5,19.8,19.3,32.9,48.0,26.0,11.0,0.0,0.0,1.0
Jusuf Nurkic,2744.0,1600.5,480.0,49.0,43.3,60.0,56.0,37.0,8.0,0.0,42.0,0.0
Juwan Morgan,16.5,114.5,107.5,8.2,3.9,5.1,2.0,29.0,21.0,0.0,0.0,0.0
KJ Martin,1806.5,1259.5,0.0,22.9,28.0,0.0,79.0,45.0,0.0,0.0,0.0,0.0
KZ Okpala,222.5,290.0,26.5,10.6,7.8,5.3,21.0,37.0,5.0,0.0,0.0,0.0
Kai Jones,55.5,0.0,0.0,2.6,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
Karl-Anthony Towns,4787.0,3368.0,2489.0,64.7,67.4,71.1,74.0,50.0,35.0,159.0,169.0,172.0
Kawhi Leonard,0.0,3177.5,3656.5,0.0,61.1,64.1,0.0,52.0,57.0,0.0,169.0,167.0
Keifer Sykes,419.0,0.0,0.0,13.1,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Keita Bates-Diop,941.5,235.0,733.0,16.0,7.8,16.7,59.0,30.0,44.0,0.0,0.0,0.0
Kelan Martin,395.0,398.5,435.0,13.2,11.4,14.0,30.0,35.0,31.0,0.0,0.0,0.0
Keldon Johnson,2851.5,2198.5,375.5,38.0,31.9,22.1,75.0,69.0,17.0,32.0,0.0,0.0
Keljin Blevins,221.0,30.0,0.0,7.1,1.8,0.0,31.0,17.0,0.0,0.0,0.0,0.0
Kelly Olynyk,1074.5,2689.5,1533.5,26.9,38.4,22.9,40.0,70.0,67.0,0.0,1.0,1.0
Kelly Oubre Jr.,2354.5,2002.5,2394.0,31.0,36.4,42.8,76.0,55.0,56.0,1.0,28.0,1.0
Kemba Walker,1061.0,1864.5,2543.0,28.7,43.4,45.4,37.0,43.0,56.0,0.0,20.0,81.0
Kendrick Nunn,0.0,1796.0,2165.0,0.0,32.1,32.3,0.0,56.0,67.0,0.0,1.0,1.0
Kenrich Williams,1145.0,1600.5,650.0,23.4,24.2,16.7,49.0,66.0,39.0,0.0,0.0,0.0
Kent Bazemore,396.5,1382.5,1527.0,10.2,20.6,22.5,39.0,67.0,68.0,0.0,0.0,0.0
Kentavious Caldwell-Pope,2263.5,1602.0,1472.5,29.4,23.9,21.3,77.0,67.0,69.0,0.0,0.0,0.0
Keon Johnson,674.5,0.0,0.0,18.2,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0
Kessler Edwards,783.5,0.0,0.0,16.3,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
Kevin Durant,3935.0,2296.0,0.0,71.5,65.6,0.0,55.0,35.0,0.0,185.0,160.0,0.0
Kevin Huerter,2143.0,2185.0,1830.0,29.0,31.7,32.7,74.0,69.0,56.0,0.0,1.0,0.0
Kevin Knox II,202.0,362.0,975.5,6.7,8.6,15.0,30.0,42.0,65.0,0.0,0.0,0.0
Kevin Love,2516.5,799.5,2550.0,34.0,32.0,45.5,74.0,25.0,56.0,0.0,31.0,53.0
Kevin Pangos,126.0,0.0,0.0,5.2,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
Kevin Porter Jr.,2539.5,1052.0,1147.0,41.6,40.5,22.9,61.0,26.0,50.0,18.0,4.0,0.0
Kevon Looney,2227.5,1186.5,264.0,27.2,19.5,13.2,82.0,61.0,20.0,0.0,0.0,0.0
Khem Birch,988.5,1789.5,827.5,18.0,26.7,17.2,55.0,67.0,48.0,0.0,0.0,0.0
Khris Middleton,3110.0,3395.0,2975.0,47.1,49.9,48.0,66.0,68.0,62.0,55.0,76.0,41.0
Khyri Thomas,0.0,244.0,31.5,0.0,48.8,3.9,0.0,5.0,8.0,0.0,0.0,0.0
Killian Hayes,1688.5,592.0,0.0,25.6,22.8,0.0,66.0,26.0,0.0,0.0,1.0,0.0
Killian Tillie,378.0,161.5,0.0,10.5,9.0,0.0,36.0,18.0,0.0,0.0,0.0,0.0
Kira Lewis Jr.,336.0,931.0,0.0,14.0,17.2,0.0,24.0,54.0,0.0,0.0,0.0,0.0
Klay Thompson,1291.0,0.0,0.0,40.3,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Kris Dunn,419.5,20.0,1383.0,30.0,5.0,27.1,14.0,4.0,51.0,0.0,0.0,0.0
Kristaps Porzingis,2692.0,2222.0,3134.0,52.8,51.7,55.0,51.0,43.0,57.0,70.0,12.0,72.0
Kyle Anderson,1902.0,2614.5,1471.0,27.6,37.9,22.0,69.0,69.0,67.0,0.0,0.0,0.0
Kyle Guy,159.0,219.5,7.5,8.4,7.1,2.5,19.0,31.0,3.0,0.0,0.0,0.0
Kyle Kuzma,3038.5,2215.0,1610.5,46.0,32.6,26.4,66.0,68.0,61.0,0.0,3.0,3.0
Kyle Lowry,2781.5,2280.0,3098.5,44.2,49.6,53.4,63.0,46.0,58.0,24.0,40.0,33.0
Kyrie Irving,1775.5,3452.0,1296.0,61.2,63.9,64.8,29.0,54.0,20.0,25.0,80.0,88.0
LaMarcus Aldridge,1516.0,872.5,2727.5,32.3,33.6,51.5,47.0,26.0,53.0,0.0,51.0,70.0
LaMelo Ball,4398.5,2355.5,0.0,58.6,46.2,0.0,75.0,51.0,0.0,73.0,18.0,0.0
Lamar Stevens,949.5,475.5,0.0,15.1,11.9,0.0,63.0,40.0,0.0,0.0,0.0,0.0
Landry Shamet,1207.5,1172.5,1027.5,17.5,19.2,19.4,69.0,61.0,53.0,0.0,0.0,0.0
Langston Galloway,50.0,382.5,1483.5,7.1,9.6,22.5,7.0,40.0,66.0,0.0,0.0,0.0
Larry Nance Jr.,1124.0,1204.5,1902.5,24.4,34.4,34.0,46.0,35.0,56.0,0.0,3.0,3.0
Lauri Markkanen,2030.5,1464.5,1642.0,33.3,28.7,32.8,61.0,51.0,50.0,0.0,27.0,63.0
LeBron James,4195.5,3010.5,5162.5,74.9,66.9,77.1,56.0,45.0,67.0,0.0,200.0,165.0
Leandro Bolmaro,163.5,0.0,0.0,4.7,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
Lonnie Walker IV,1766.0,1346.0,935.0,25.2,22.4,15.3,70.0,60.0,61.0,0.0,0.0,0.0
Lonzo Ball,1491.5,2350.5,2714.0,42.6,42.7,43.1,35.0,55.0,63.0,0.0,49.0,4.0
Lou Williams,852.0,1727.0,2608.0,15.2,26.2,40.1,56.0,66.0,65.0,0.0,7.0,30.0
Louis King,96.5,135.0,50.0,9.6,22.5,5.0,10.0,6.0,10.0,0.0,0.0,0.0
Luguentz Dort,1669.0,1448.5,554.5,32.7,27.9,15.4,51.0,52.0,36.0,0.0,0.0,0.0
Luka Doncic,4958.0,4713.5,4702.5,76.3,71.4,77.1,65.0,66.0,61.0,216.0,194.0,120.0
Luka Garza,494.5,0.0,0.0,15.5,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Luka Samanic,0.0,299.0,49.5,0.0,9.1,16.5,0.0,33.0,3.0,0.0,0.0,0.0
Luke Kennard,1845.5,1210.5,989.0,26.4,19.2,35.3,70.0,63.0,28.0,0.0,11.0,0.0
MJ Walker,6.5,0.0,0.0,3.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Mac McClung,18.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Malachi Flynn,542.5,985.5,0.0,12.3,21.0,0.0,44.0,47.0,0.0,0.0,0.0,0.0
Malcolm Brogdon,1765.0,2890.5,2477.0,49.0,51.6,45.9,36.0,56.0,54.0,24.0,27.0,3.0
Malik Beasley,1886.5,1419.5,1247.0,23.9,38.4,22.7,79.0,37.0,55.0,0.0,0.0,0.0
Malik Fitts,57.5,7.0,0.0,3.8,2.3,0.0,15.0,3.0,0.0,0.0,0.0,0.0
Malik Monk,2393.0,976.5,1225.0,31.5,23.2,22.3,76.0,42.0,55.0,0.0,0.0,0.0
Mamadi Diakite,198.5,151.5,0.0,15.3,10.8,0.0,13.0,14.0,0.0,0.0,0.0,0.0
Marcus Garrett,84.0,0.0,0.0,7.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
Marcus Morris Sr.,1739.0,1577.5,2130.0,32.2,27.7,34.4,54.0,57.0,62.0,0.0,3.0,1.0
Marcus Smart,2638.5,1855.0,2243.5,37.2,38.6,37.4,71.0,48.0,60.0,1.0,11.0,0.0
Markelle Fultz,591.0,282.0,2496.5,32.8,35.2,34.7,18.0,8.0,72.0,0.0,30.0,0.0
Markieff Morris,285.0,1078.5,1248.0,16.8,17.7,21.5,17.0,61.0,58.0,0.0,0.0,0.0
Marko Simonovic,37.0,0.0,0.0,4.1,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
Markus Howard,213.5,176.0,0.0,6.9,4.8,0.0,31.0,37.0,0.0,0.0,0.0,0.0
Marques Bolden,0.0,27.5,5.0,0.0,4.6,5.0,0.0,6.0,1.0,0.0,0.0,0.0
Marquese Chriss,447.5,40.0,1873.0,13.2,20.0,31.7,34.0,2.0,59.0,0.0,1.0,0.0
Marvin Bagley III,1432.5,1539.0,473.0,29.8,35.8,36.4,48.0,43.0,13.0,0.0,15.0,57.0
Mason Plumlee,2274.5,2351.5,1557.0,31.2,42.0,25.5,73.0,56.0,61.0,4.0,0.0,0.0
Matisse Thybulle,1468.5,1176.0,1120.0,22.2,18.1,17.2,66.0,65.0,65.0,0.0,0.0,0.0
Matt Ryan,4.5,0.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Matt Thomas,340.0,263.5,424.0,8.5,5.9,10.3,40.0,45.0,41.0,0.0,0.0,0.0
Maurice Harkless,607.0,591.5,1172.5,12.9,16.0,18.9,47.0,37.0,62.0,0.0,0.0,0.0
Max Strus,1493.0,448.5,9.5,22.0,11.5,4.8,68.0,39.0,2.0,0.0,0.0,0.0
Maxi Kleber,1364.5,1116.5,1971.5,23.1,22.3,26.6,59.0,50.0,74.0,0.0,0.0,0.0
McKinley Wright IV,13.5,0.0,0.0,2.7,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Mfiondu Kabengele,0.0,277.5,87.0,0.0,7.1,7.2,0.0,39.0,12.0,0.0,0.0,0.0
Micah Potter,34.5,0.0,0.0,11.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Michael Carter-Williams,0.0,855.5,1038.5,0.0,27.6,23.1,0.0,31.0,45.0,0.0,0.0,0.0
Michael Porter Jr.,237.5,2785.5,1367.0,26.4,45.7,24.9,9.0,61.0,55.0,0.0,26.0,0.0
Mikal Bridges,2897.5,2600.5,2003.5,35.3,36.1,27.4,82.0,72.0,73.0,5.0,20.0,1.0
Mike Conley,2745.5,2248.0,1565.0,38.1,44.1,33.3,72.0,51.0,47.0,5.0,13.0,58.0
Mike Muscala,824.0,715.5,567.0,19.2,20.4,12.1,43.0,35.0,47.0,0.0,0.0,0.0
Miles Bridges,4036.0,2309.0,2040.5,50.4,35.0,31.4,80.0,66.0,65.0,1.0,3.0,1.0
Miles McBride,277.0,0.0,0.0,6.9,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
Mitchell Robinson,2751.0,1088.0,2277.5,38.2,35.1,37.3,72.0,31.0,61.0,0.0,24.0,61.0
Miye Oni,20.0,338.5,89.5,1.2,6.3,9.0,16.0,54.0,10.0,0.0,0.0,0.0
Mo Bamba,2644.5,1181.0,1319.0,37.2,25.7,21.3,71.0,46.0,62.0,2.0,0.0,0.0
Monte Morris,2520.0,1258.5,1864.5,33.6,26.8,25.5,75.0,47.0,73.0,0.0,0.0,0.0
Montrezl Harrell,2559.5,2462.0,2940.0,36.0,35.7,46.7,71.0,69.0,63.0,0.0,19.0,52.0
Moritz Wagner,1319.5,804.0,1041.0,20.9,17.9,23.1,63.0,45.0,45.0,0.0,0.0,0.0
Moses Brown,503.5,1420.0,33.5,12.6,33.0,3.7,40.0,43.0,9.0,0.0,0.0,0.0
Moses Moody,501.0,0.0,0.0,9.6,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0
Moses Wright,19.0,0.0,0.0,4.8,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Mychal Mulder,121.5,651.0,142.5,7.1,10.8,20.4,17.0,60.0,7.0,0.0,0.0,0.0
Myles Turner,1780.0,2009.5,2297.0,42.4,42.8,37.0,42.0,47.0,62.0,61.0,22.0,65.0
Nah'Shon Hyland,1655.0,0.0,0.0,24.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0
Naji Marshall,787.0,778.0,0.0,14.3,24.3,0.0,55.0,32.0,0.0,0.0,0.0,0.0
Nassir Little,1162.0,556.5,493.0,27.7,11.6,10.3,42.0,48.0,48.0,0.0,0.0,0.0
Nate Hinton,-2.5,97.5,0.0,-1.2,4.6,0.0,2.0,21.0,0.0,0.0,0.0,0.0
Nathan Knight,396.5,323.0,0.0,10.7,9.8,0.0,37.0,33.0,0.0,0.0,0.0,0.0
Naz Reid,1767.5,2000.0,724.0,23.0,28.6,24.1,77.0,70.0,30.0,0.0,0.0,0.0
Neemias Queta,145.5,0.0,0.0,9.7,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
Nemanja Bjelica,1443.5,659.0,2525.0,20.3,17.8,35.1,71.0,37.0,72.0,0.0,1.0,0.0
Nerlens Noel,544.0,1828.0,1682.0,21.8,28.6,27.6,25.0,64.0,61.0,0.0,0.0,0.0
Nick Richards,449.0,33.5,0.0,9.0,1.9,0.0,50.0,18.0,0.0,0.0,0.0,0.0
Nickeil Alexander-Walker,1551.0,1185.5,629.5,23.9,25.8,13.4,65.0,46.0,47.0,0.0,0.0,0.0
Nicolas Batum,1483.5,1759.0,424.0,25.1,26.3,19.3,59.0,67.0,22.0,0.0,0.0,0.0
Nicolas Claxton,1344.0,799.5,214.5,28.6,25.0,14.3,47.0,32.0,15.0,1.0,0.0,0.0
Nikola Jokic,6575.0,6155.5,4834.5,88.9,85.5,66.2,74.0,72.0,73.0,225.0,194.0,182.0
Nikola Vucevic,4023.0,4640.5,3686.5,55.1,66.3,59.5,73.0,70.0,62.0,111.0,137.0,120.0
Norman Powell,1690.5,2508.5,1756.0,37.6,36.4,33.8,45.0,69.0,52.0,0.0,5.0,0.0
OG Anunoby,1969.0,1707.0,2136.5,41.0,39.7,31.0,48.0,43.0,69.0,0.0,10.0,0.0
Obi Toppin,1593.5,660.5,0.0,22.1,10.7,0.0,72.0,62.0,0.0,0.0,1.0,0.0
Omer Yurtseven,1069.5,0.0,0.0,19.1,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0
Onyeka Okongwu,1401.5,784.5,0.0,29.2,15.7,0.0,48.0,50.0,0.0,0.0,0.0,0.0
Oshae Brissett,1650.0,683.5,99.5,24.6,32.5,5.2,67.0,21.0,19.0,0.0,0.0,0.0
Otto Porter Jr.,1702.5,726.5,402.0,27.0,25.9,28.7,63.0,28.0,14.0,0.0,19.0,21.0
P.J. Tucker,1788.5,768.5,1833.5,25.2,14.8,25.5,71.0,52.0,72.0,0.0,1.0,0.0
P.J. Washington,2001.5,2424.0,1850.0,30.8,37.9,31.9,65.0,64.0,58.0,0.0,0.0,0.0
PJ Dozier,302.0,1044.5,461.5,16.8,20.9,15.9,18.0,50.0,29.0,0.0,0.0,0.0
Pascal Siakam,4226.5,3019.5,3161.0,62.2,53.9,52.7,68.0,56.0,60.0,31.0,150.0,52.0
Pat Connaughton,1593.0,1407.5,1200.5,24.5,20.4,17.9,65.0,69.0,67.0,0.0,0.0,0.0
Patrick Beverley,1957.0,850.0,1503.5,33.7,23.0,29.5,58.0,37.0,51.0,0.0,0.0,0.0
Patrick Patterson,0.0,485.5,683.0,0.0,12.8,11.6,0.0,38.0,59.0,0.0,0.0,0.0
Patrick Williams,392.0,1792.0,0.0,23.1,25.2,0.0,17.0,71.0,0.0,0.0,0.0,0.0
Patty Mills,1955.5,1538.5,1554.5,24.1,22.6,23.6,81.0,68.0,66.0,0.0,0.0,0.0
Paul George,1769.0,2923.0,2297.0,57.1,54.1,47.9,31.0,54.0,48.0,107.0,104.0,97.0
Paul Millsap,418.5,1505.5,1618.0,12.7,26.9,31.7,33.0,56.0,51.0,0.0,3.0,2.0
Paul Reed,485.0,319.0,0.0,12.8,12.3,0.0,38.0,26.0,0.0,0.0,0.0,0.0
Paul Watson,96.5,263.5,89.5,10.7,9.8,9.0,9.0,27.0,10.0,0.0,0.0,0.0
Payton Pritchard,1145.5,1247.5,0.0,16.1,18.9,0.0,71.0,66.0,0.0,0.0,0.0,0.0
Petr Cornelie,42.5,0.0,0.0,3.3,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
Precious Achiuwa,1902.0,908.0,0.0,26.1,14.9,0.0,73.0,61.0,0.0,0.0,0.0,0.0
Quentin Grimes,673.5,0.0,0.0,14.6,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0
Quinn Cook,0.0,172.5,469.5,0.0,7.5,10.7,0.0,23.0,44.0,0.0,0.0,0.0
R.J. Hampton,1247.5,933.0,0.0,19.5,18.3,0.0,64.0,51.0,0.0,0.0,0.0,0.0
RJ Barrett,2796.0,2803.0,1740.0,39.9,38.9,31.1,70.0,72.0,56.0,0.0,17.0,11.0
RJ Nembhard Jr.,55.0,0.0,0.0,3.9,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Rajon Rondo,778.5,936.0,1188.5,20.0,20.8,24.8,39.0,45.0,48.0,0.0,0.0,1.0
Raul Neto,1443.5,1484.0,700.0,20.6,23.2,13.0,70.0,64.0,54.0,0.0,0.0,0.0
Reggie Bullock,1346.5,1589.0,543.5,19.8,24.4,18.7,68.0,65.0,29.0,0.0,0.0,0.0
Reggie Jackson,2797.5,1748.0,897.0,37.3,26.1,28.9,75.0,67.0,31.0,0.0,0.0,0.0
Reggie Perry,261.5,259.0,0.0,26.2,10.0,0.0,10.0,26.0,0.0,0.0,0.0,0.0
Richaun Holmes,1452.5,2822.5,1810.0,32.3,46.3,41.1,45.0,61.0,44.0,0.0,11.0,0.0
Ricky Rubio,1339.0,2227.5,3161.0,39.4,32.8,48.6,34.0,68.0,65.0,0.0,28.0,125.0
Rob Edwards,3.5,0.0,0.0,1.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Robert Covington,2032.0,2180.5,2484.0,28.6,31.2,35.5,71.0,70.0,70.0,0.0,27.0,8.0
Robert Williams III,2951.0,1822.5,638.5,48.4,35.0,22.0,61.0,52.0,29.0,0.0,0.0,0.0
Robert Woodard II,32.0,58.5,0.0,2.7,4.5,0.0,12.0,13.0,0.0,0.0,0.0,0.0
Robin Lopez,728.5,1648.0,916.5,20.2,23.2,13.9,36.0,71.0,66.0,0.0,0.0,0.0
Rodney Hood,441.5,595.0,533.5,8.5,10.8,25.4,52.0,55.0,21.0,0.0,0.0,0.0
Rodney McGruder,681.5,220.5,566.0,13.4,13.8,10.1,51.0,16.0,56.0,0.0,0.0,0.0
Romeo Langford,580.0,167.5,217.0,12.1,9.3,6.8,48.0,18.0,32.0,0.0,0.0,0.0
Royce O'Neale,1964.0,1875.0,1683.0,25.5,26.4,23.7,77.0,71.0,71.0,0.0,0.0,0.0
Rudy Gay,1090.5,1721.0,1822.0,19.8,27.3,27.2,55.0,63.0,67.0,0.0,1.0,1.0
Rudy Gobert,3942.5,4108.0,3893.5,59.7,57.9,57.3,66.0,71.0,68.0,104.0,88.0,93.0
Rui Hachimura,1036.5,1747.5,1581.0,24.7,30.7,32.9,42.0,57.0,48.0,0.0,5.0,0.0
Russell Westbrook,4133.0,5442.5,3899.0,53.0,83.7,68.4,78.0,65.0,57.0,0.0,196.0,160.0
