,points,points,points,average,average,average,games,games,games,price,price,price
season,2021-2022,2020-2021,2019-2020,2021-2022,2020-2021,2019-2020,2021-2022,2020-2021,2019-2020,2021-2022,2020-2021,2019-2020
name,,,,,,,,,,,,
Cade Cunningham,2864.0,0.0,0.0,44.8,0.0,0.0,64.0,0.0,0.0,21.0,0.0,0.0
Caleb Martin,1465.0,763.5,300.5,24.4,14.4,16.7,60.0,53.0,18.0,0.0,0.0,0.0
Cam Reddish,1012.0,645.5,1371.0,20.7,24.8,23.6,49.0,26.0,58.0,0.0,7.0,0.0
Cam Thomas,1165.5,0.0,0.0,17.4,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0
Cameron Johnson,1874.5,1308.0,1246.5,28.4,21.8,21.9,66.0,60.0,57.0,0.0,0.0,0.0
Cameron Oliver,58.5,127.5,0.0,29.2,31.9,0.0,2.0,4.0,0.0,0.0,0.0,0.0
Cameron Payne,1760.0,1502.5,234.5,30.3,25.0,29.3,58.0,60.0,8.0,0.0,0.0,0.0
Caris LeVert,2277.5,2345.5,1878.0,39.3,49.9,41.7,58.0,47.0,45.0,11.0,20.0,13.0
Carlik Jones,15.5,0.0,0.0,3.1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Carmelo Anthony,2034.0,1960.5,2005.5,29.5,28.4,34.6,69.0,69.0,58.0,0.0,4.0,0.0
Cassius Stanley,114.5,80.5,0.0,12.7,3.4,0.0,9.0,24.0,0.0,0.0,0.0,0.0
Cassius Winston,31.0,97.0,0.0,4.4,4.4,0.0,7.0,22.0,0.0,0.0,0.0,0.0
Cedi Osman,1521.5,1502.0,1704.5,23.1,25.5,26.2,66.0,59.0,65.0,0.0,1.0,0.0
Chandler Hutchison,8.0,285.5,542.5,1.3,11.4,19.4,6.0,25.0,28.0,0.0,0.0,0.0
Charles Bassey,285.0,0.0,0.0,12.4,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
Chasson Randle,0.0,614.5,24.5,0.0,15.0,8.2,0.0,41.0,3.0,0.0,0.0,0.0
Chaundee Brown,68.0,0.0,0.0,13.6,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Chimezie Metu,1471.5,598.0,170.5,24.5,16.6,9.5,60.0,36.0,18.0,0.0,0.0,0.0
Chris Boucher,2241.0,2442.5,1327.5,28.0,40.7,21.4,80.0,60.0,62.0,0.0,1.0,0.0
Chris Chiozza,256.5,321.5,483.5,7.5,14.6,17.3,34.0,22.0,28.0,0.0,0.0,0.0
Chris Duarte,1573.0,0.0,0.0,28.6,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0
Chris Paul,3936.0,3903.0,3494.5,60.6,55.8,49.9,65.0,70.0,70.0,52.0,52.0,89.0
Chris Silva,93.0,104.5,488.5,9.3,7.0,11.1,10.0,15.0,44.0,0.0,0.0,0.0
Christian Wood,3412.0,2209.0,2116.0,50.2,53.9,34.1,68.0,41.0,62.0,46.0,80.0,0.0
Chuma Okeke,1827.5,1101.5,0.0,26.1,24.5,0.0,70.0,45.0,0.0,0.0,0.0,0.0
Clint Capela,3438.0,3765.5,2196.0,46.5,59.8,56.3,74.0,63.0,39.0,60.0,45.0,78.0
Coby White,1708.0,2458.5,1784.5,28.0,35.6,27.5,61.0,69.0,65.0,0.0,19.0,1.0
Cody Martin,1858.5,794.5,809.0,26.2,15.3,16.9,71.0,52.0,48.0,0.0,0.0,0.0
Cody Zeller,448.5,1457.5,1887.5,16.6,30.4,32.5,27.0,48.0,58.0,0.0,2.0,0.0
Cole Anthony,2670.5,1500.5,0.0,41.1,31.9,0.0,65.0,47.0,0.0,0.0,0.0,0.0
Collin Sexton,314.5,2895.0,2594.5,28.6,48.2,39.9,11.0,60.0,65.0,0.0,22.0,1.0
Corey Kispert,1443.5,0.0,0.0,18.7,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0
Cory Joseph,1559.0,1577.0,1566.0,24.0,25.0,21.8,65.0,63.0,72.0,0.0,0.0,0.0
D'Angelo Russell,3028.5,1876.5,2257.5,46.6,44.7,50.2,65.0,42.0,45.0,46.0,61.0,63.0
D.J. Augustin,697.0,1132.5,1544.5,12.7,19.9,27.1,55.0,57.0,57.0,0.0,0.0,0.0
D.J. Wilson,91.0,493.5,321.0,22.8,14.1,8.7,4.0,35.0,37.0,0.0,0.0,0.0
Daishen Nix,229.0,0.0,0.0,9.5,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
Dalano Banton,695.5,0.0,0.0,10.9,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0
Damian Jones,1361.5,620.0,1027.0,24.3,15.9,18.7,56.0,39.0,55.0,0.0,0.0,0.0
Damian Lillard,1599.5,4318.0,4572.5,55.2,64.4,69.3,29.0,67.0,66.0,0.0,164.0,128.0
Damion Lee,1095.5,999.0,1520.0,17.4,17.5,31.0,63.0,57.0,49.0,0.0,0.0,0.0
Daniel Gafford,2239.5,1307.0,758.5,31.1,24.2,17.6,72.0,54.0,43.0,0.0,0.0,0.0
Daniel Oturu,26.0,200.0,0.0,8.7,6.7,0.0,3.0,30.0,0.0,0.0,0.0,0.0
Daniel Theis,1061.0,1912.5,2152.5,22.6,29.4,33.1,47.0,65.0,65.0,0.0,3.0,0.0
Danilo Gallinari,1746.0,1434.0,2309.5,26.5,28.1,37.2,66.0,51.0,62.0,0.0,15.0,15.0
Danny Green,1068.0,1873.5,1490.0,17.2,27.2,21.9,62.0,69.0,68.0,0.0,2.0,1.0
Dante Exum,0.0,85.0,411.0,0.0,14.2,11.7,0.0,6.0,35.0,0.0,0.0,0.0
Danuel House Jr.,635.5,786.0,1682.0,15.1,21.8,26.7,42.0,36.0,63.0,0.0,0.0,0.0
Dario Saric,0.0,1000.0,1902.0,0.0,20.0,28.8,0.0,50.0,66.0,0.0,1.0,0.0
Darius Bazley,2079.5,1720.0,980.0,30.1,31.3,16.1,69.0,55.0,61.0,0.0,1.0,0.0
Darius Garland,3918.5,2263.0,1535.5,57.6,41.9,26.0,68.0,54.0,59.0,13.0,1.0,0.0
David Duke Jr.,341.0,0.0,0.0,15.5,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
David Johnson,-1.0,0.0,0.0,-0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
David Nwaba,729.0,771.5,289.0,15.8,25.7,14.4,46.0,30.0,20.0,0.0,0.0,0.0
Davion Mitchell,2193.0,0.0,0.0,29.2,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
Davis Bertans,655.5,1277.5,1811.0,11.7,22.4,33.5,56.0,57.0,54.0,0.0,13.0,0.0
Davon Reed,636.0,0.0,0.0,13.2,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
Day'Ron Sharpe,632.0,0.0,0.0,19.8,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
De'Aaron Fox,3025.5,3459.5,2707.0,51.3,59.6,53.1,59.0,58.0,51.0,0.0,76.0,52.0
De'Andre Hunter,1433.0,783.5,1682.5,27.0,34.1,26.7,53.0,23.0,63.0,0.0,3.0,0.0
De'Anthony Melton,2199.0,1363.0,1442.5,30.1,26.2,24.0,73.0,52.0,60.0,0.0,0.0,0.0
DeAndre Jordan,822.0,1658.5,1934.0,17.1,29.1,34.5,48.0,57.0,56.0,0.0,4.0,19.0
DeAndre' Bembry,984.5,955.0,864.5,17.6,18.7,20.1,56.0,51.0,43.0,0.0,0.0,0.0
DeJon Jarreau,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DeMar DeRozan,4507.0,3398.5,3646.0,59.3,55.7,53.6,76.0,61.0,68.0,54.0,71.0,48.0
Dean Wade,773.0,1086.5,75.0,15.2,17.2,6.2,51.0,63.0,12.0,0.0,0.0,0.0
Deandre Ayton,2918.5,3329.5,2189.5,50.3,48.3,57.6,58.0,69.0,38.0,81.0,102.0,65.0
Dejounte Murray,4909.5,3185.5,2370.0,72.2,47.5,35.9,68.0,67.0,66.0,0.0,17.0,1.0
Delon Wright,1487.0,2230.0,1879.5,19.3,35.4,25.7,77.0,63.0,73.0,0.0,1.0,0.0
Deni Avdija,2027.5,999.5,0.0,24.7,18.5,0.0,82.0,54.0,0.0,0.0,0.0,0.0
Dennis Schroder,2101.0,2424.5,2526.5,32.8,39.7,38.9,64.0,61.0,65.0,16.0,7.0,0.0
Dennis Smith Jr.,794.0,555.5,567.0,21.5,24.2,16.7,37.0,23.0,34.0,0.0,0.0,0.0
Denzel Valentine,169.5,1032.0,564.5,7.1,16.6,15.7,24.0,62.0,36.0,0.0,0.0,0.0
Derrick Favors,697.0,1505.5,1920.5,17.9,22.1,37.7,39.0,68.0,51.0,0.0,7.0,21.0
Derrick Jones Jr.,870.0,1210.5,1436.5,17.1,20.9,24.3,51.0,58.0,59.0,0.0,0.0,0.0
Derrick Rose,834.5,1809.0,2126.0,32.1,36.2,42.5,26.0,50.0,50.0,0.0,14.0,0.0
Derrick Walton Jr.,97.5,0.0,171.5,32.5,0.0,6.6,3.0,0.0,26.0,0.0,0.0,0.0
Derrick White,2759.5,1312.5,2130.5,36.8,36.5,31.3,75.0,36.0,68.0,23.0,5.0,1.0
Desmond Bane,3062.5,1504.0,0.0,40.3,22.1,0.0,76.0,68.0,0.0,0.0,0.0,0.0
Devin Booker,3875.0,3318.5,3968.5,57.0,49.5,56.7,68.0,67.0,70.0,74.0,137.0,75.0
Devin Vassell,2167.0,951.0,0.0,30.5,15.3,0.0,71.0,62.0,0.0,0.0,0.0,0.0
Devon Dotson,79.0,69.0,0.0,7.2,6.3,0.0,11.0,11.0,0.0,0.0,0.0,0.0
Devontae Cacok,184.0,125.5,18.5,12.3,6.3,18.5,15.0,20.0,1.0,0.0,0.0,0.0
Devonte' Graham,2196.0,2007.0,2994.0,28.9,36.5,47.5,76.0,55.0,63.0,5.0,31.0,0.0
Dewayne Dedmon,1373.5,357.0,843.0,20.5,22.3,19.2,67.0,16.0,44.0,0.0,0.0,0.0
Didi Louzada,84.0,18.0,0.0,9.3,6.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
