name,season,fp,games,pergfp,price,fppd
Kyle Lowry,2015-2016,4201.0,77,54.6,,
Kyrie Irving,2021-2022,1775.5,29,61.2,25.0,71.0
Kyrie Irving,2020-2021,3452.0,54,63.9,80.0,43.2
Kyrie Irving,2019-2020,1296.0,20,64.8,88.0,14.7
Kyrie Irving,2018-2019,4206.0,67,62.8,,
Kyrie Irving,2017-2018,3079.5,59,52.2,,
Kyrie Irving,2016-2017,4018.0,72,55.8,,
Kyrie Irving,2015-2016,2286.0,53,43.1,,
Kyrie Irving,2014-2015,3720.0,75,49.6,,
Kyrie Irving,2013-2014,3522.5,70,50.3,,
Kyrie Irving,2012-2013,3019.0,59,51.2,,
Kyrie Irving,2011-2012,2216.0,51,43.5,,
LaMarcus Aldridge,2020-2021,872.5,26,33.6,51.0,17.1
LaMarcus Aldridge,2019-2020,2727.5,53,51.5,70.0,39.0
LaMarcus Aldridge,2021-2022,1516.0,47,32.3,,
LaMarcus Aldridge,2018-2019,4641.5,81,57.3,,
LaMarcus Aldridge,2017-2018,4362.5,75,58.2,,
LaMarcus Aldridge,2016-2017,3326.0,72,46.2,,
LaMarcus Aldridge,2012-2013,4250.0,74,57.4,,
LaMarcus Aldridge,2014-2015,4174.5,71,58.8,,
LaMarcus Aldridge,2013-2014,4299.5,69,62.3,,
LaMarcus Aldridge,2011-2012,2937.0,55,53.4,,
LaMarcus Aldridge,2010-2011,4687.0,81,57.9,,
LaMarcus Aldridge,2015-2016,3563.5,74,48.2,,
LaMelo Ball,2020-2021,2355.5,51,46.2,18.0,130.9
LaMelo Ball,2021-2022,4398.5,75,58.6,73.0,60.3
Lamar Stevens,2020-2021,475.5,40,11.9,,
Lamar Stevens,2021-2022,949.5,63,15.1,,
Landry Shamet,2018-2019,1513.0,79,19.2,,
Landry Shamet,2019-2020,1027.5,53,19.4,,
Landry Shamet,2020-2021,1172.5,61,19.2,,
Landry Shamet,2021-2022,1207.5,69,17.5,,
Langston Galloway,2021-2022,50.0,7,7.1,,
Langston Galloway,2020-2021,382.5,40,9.6,,
Langston Galloway,2018-2019,1407.5,80,17.6,,
Langston Galloway,2019-2020,1483.5,66,22.5,,
