name,season,fp,games,pergfp,price,fppd
Mychal Mulder,2020-2021,651.0,60,10.8,,
Mychal Mulder,2019-2020,142.5,7,20.4,,
Myles Turner,2015-2016,1734.5,60,28.9,,
Myles Turner,2016-2017,3565.5,81,44.0,,
Myles Turner,2017-2018,2414.5,65,37.1,,
Myles Turner,2018-2019,3283.0,74,44.4,,
Myles Turner,2019-2020,2297.0,62,37.0,65.0,35.3
Myles Turner,2020-2021,2009.5,47,42.8,22.0,91.3
Myles Turner,2021-2022,1780.0,42,42.4,61.0,29.2
Nah'Shon Hyland,2021-2022,1655.0,69,24.0,,
Naji Marshall,2021-2022,787.0,55,14.3,,
Naji Marshall,2020-2021,778.0,32,24.3,,
Nassir Little,2019-2020,493.0,48,10.3,,
Nassir Little,2020-2021,556.5,48,11.6,,
Nassir Little,2021-2022,1162.0,42,27.7,,
Nate Hinton,2020-2021,97.5,21,4.6,,
Nate Hinton,2021-2022,-2.5,2,-1.2,,
Nathan Knight,2020-2021,323.0,33,9.8,,
Nathan Knight,2021-2022,396.5,37,10.7,,
Naz Reid,2020-2021,2000.0,70,28.6,,
Naz Reid,2021-2022,1767.5,77,23.0,,
Naz Reid,2019-2020,724.0,30,24.1,,
Neemias Queta,2021-2022,145.5,15,9.7,,
Nemanja Bjelica,2021-2022,1443.5,71,20.3,,
Nemanja Bjelica,2015-2016,994.5,60,16.6,,
Nemanja Bjelica,2016-2017,1147.5,65,17.7,,
Nemanja Bjelica,2017-2018,1308.5,67,19.5,,
Nemanja Bjelica,2018-2019,2311.0,77,30.0,,
Nemanja Bjelica,2019-2020,2525.0,72,35.1,,
Nemanja Bjelica,2020-2021,659.0,37,17.8,1.0,659.0
Nerlens Noel,2019-2020,1682.0,61,27.6,,
Nerlens Noel,2018-2019,1649.0,77,21.4,,
Nerlens Noel,2017-2018,610.0,30,20.3,,
Nerlens Noel,2014-2015,3017.5,75,40.2,,
Nerlens Noel,2015-2016,2685.5,67,40.1,,
Nerlens Noel,2020-2021,1828.0,64,28.6,,
Nerlens Noel,2016-2017,1514.5,51,29.7,,
Nerlens Noel,2021-2022,544.0,25,21.8,,
Nick Richards,2021-2022,449.0,50,9.0,,
Nick Richards,2020-2021,33.5,18,1.9,,
Nickeil Alexander-Walker,2021-2022,1551.0,65,23.9,,
Nickeil Alexander-Walker,2020-2021,1185.5,46,25.8,,
Nickeil Alexander-Walker,2019-2020,629.5,47,13.4,,
Nicolas Batum,2018-2019,2211.0,75,29.5,,
Nicolas Batum,2010-2011,2454.0,80,30.7,,
Nicolas Batum,2011-2012,1965.5,59,33.3,,
Nicolas Batum,2012-2013,3157.0,73,43.2,,
Nicolas Batum,2013-2014,3474.5,81,42.9,,
Nicolas Batum,2014-2015,2385.0,71,33.6,,
Nicolas Batum,2015-2016,3007.0,70,43.0,,
Nicolas Batum,2016-2017,3376.5,77,43.9,,
Nicolas Batum,2017-2018,2349.5,64,36.7,,
Nicolas Batum,2019-2020,424.0,22,19.3,,
Nicolas Batum,2020-2021,1759.0,67,26.3,,
Nicolas Batum,2021-2022,1483.5,59,25.1,,
Nicolas Claxton,2019-2020,214.5,15,14.3,,
Nicolas Claxton,2020-2021,799.5,32,25.0,,
Nicolas Claxton,2021-2022,1344.0,47,28.6,1.0,1344.0
Nikola Jokic,2020-2021,6155.5,72,85.5,194.0,31.7
Nikola Jokic,2021-2022,6575.0,74,88.9,225.0,29.2
Nikola Jokic,2019-2020,4834.5,73,66.2,182.0,26.6
Nikola Jokic,2017-2018,4741.0,75,63.2,,
Nikola Jokic,2016-2017,4192.5,73,57.4,,
Nikola Jokic,2015-2016,2771.5,80,34.6,,
Nikola Jokic,2018-2019,5606.5,80,70.1,,
Nikola Vucevic,2016-2017,3715.5,75,49.5,,
Nikola Vucevic,2011-2012,962.5,51,18.9,,
Nikola Vucevic,2012-2013,3731.5,77,48.5,,
Nikola Vucevic,2013-2014,2780.5,57,48.8,,
Nikola Vucevic,2014-2015,4089.5,74,55.3,,
Nikola Vucevic,2015-2016,3441.0,65,52.9,,
Nikola Vucevic,2017-2018,2940.5,57,51.6,,
Nikola Vucevic,2018-2019,5308.5,80,66.4,,
Nikola Vucevic,2019-2020,3686.5,62,59.5,120.0,30.7
Nikola Vucevic,2020-2021,4640.5,70,66.3,137.0,33.9
Nikola Vucevic,2021-2022,4023.0,73,55.1,111.0,36.2
Norman Powell,2019-2020,1756.0,52,33.8,,
Norman Powell,2020-2021,2508.5,69,36.4,5.0,501.7
Norman Powell,2018-2019,1165.0,60,19.4,,
Norman Powell,2021-2022,1690.5,45,37.6,,
Norman Powell,2016-2017,1353.0,76,17.8,,
Norman Powell,2015-2016,686.0,49,14.0,,
Norman Powell,2017-2018,895.5,70,12.8,,
OG Anunoby,2021-2022,1969.0,48,41.0,,
OG Anunoby,2020-2021,1707.0,43,39.7,10.0,170.7
OG Anunoby,2017-2018,1097.5,74,14.8,,
OG Anunoby,2018-2019,1126.0,67,16.8,,
OG Anunoby,2019-2020,2136.5,69,31.0,,
Obi Toppin,2020-2021,660.5,62,10.7,1.0,660.5
Obi Toppin,2021-2022,1593.5,72,22.1,,
Omer Yurtseven,2021-2022,1069.5,56,19.1,,
Onyeka Okongwu,2020-2021,784.5,50,15.7,,
Onyeka Okongwu,2021-2022,1401.5,48,29.2,,
Oshae Brissett,2019-2020,99.5,19,5.2,,
Oshae Brissett,2020-2021,683.5,21,32.5,,
Oshae Brissett,2021-2022,1650.0,67,24.6,,
Otto Porter Jr.,2020-2021,726.5,28,25.9,19.0,38.2
Otto Porter Jr.,2019-2020,402.0,14,28.7,21.0,19.1
Otto Porter Jr.,2018-2019,2082.5,56,37.2,,
Otto Porter Jr.,2017-2018,3153.5,77,41.0,,
Otto Porter Jr.,2021-2022,1702.5,63,27.0,,
Otto Porter Jr.,2015-2016,2377.0,75,31.7,,
Otto Porter Jr.,2014-2015,1222.0,74,16.5,,
Otto Porter Jr.,2013-2014,191.0,35,5.5,,
Otto Porter Jr.,2016-2017,3075.0,80,38.4,,
P.J. Tucker,2021-2022,1788.5,71,25.2,,
P.J. Tucker,2020-2021,768.5,52,14.8,1.0,768.5
P.J. Tucker,2019-2020,1833.5,72,25.5,,
P.J. Tucker,2017-2018,1579.0,81,19.5,,
P.J. Tucker,2018-2019,2086.5,82,25.4,,
P.J. Tucker,2015-2016,2238.5,82,27.3,,
P.J. Tucker,2014-2015,2156.0,78,27.6,,
P.J. Tucker,2013-2014,2395.5,79,30.3,,
P.J. Tucker,2012-2013,1635.5,79,20.7,,
P.J. Tucker,2016-2017,1887.0,81,23.3,,
P.J. Washington,2019-2020,1850.0,58,31.9,,
P.J. Washington,2020-2021,2424.0,64,37.9,,
P.J. Washington,2021-2022,2001.5,65,30.8,,
PJ Dozier,2020-2021,1044.5,50,20.9,,
PJ Dozier,2017-2018,2.0,2,1.0,,
PJ Dozier,2018-2019,75.0,6,12.5,,
PJ Dozier,2019-2020,461.5,29,15.9,,
PJ Dozier,2021-2022,302.0,18,16.8,,
Pascal Siakam,2021-2022,4226.5,68,62.2,31.0,136.3
Pascal Siakam,2019-2020,3161.0,60,52.7,52.0,60.8
Pascal Siakam,2020-2021,3019.5,56,53.9,150.0,20.1
Pascal Siakam,2017-2018,1894.5,81,23.4,,
Pascal Siakam,2016-2017,820.0,55,14.9,,
Pascal Siakam,2018-2019,3609.0,80,45.1,,
Pat Connaughton,2015-2016,91.0,34,2.7,,
Pat Connaughton,2016-2017,271.5,39,7.0,,
Pat Connaughton,2017-2018,1092.5,82,13.3,,
Pat Connaughton,2018-2019,1347.0,61,22.1,,
Pat Connaughton,2019-2020,1200.5,67,17.9,,
Pat Connaughton,2020-2021,1407.5,69,20.4,,
Pat Connaughton,2021-2022,1593.0,65,24.5,,
Patrick Beverley,2021-2022,1957.0,58,33.7,,
Patrick Beverley,2019-2020,1503.5,51,29.5,,
Patrick Beverley,2018-2019,2284.0,78,29.3,,
Patrick Beverley,2017-2018,350.0,11,31.8,,
Patrick Beverley,2020-2021,850.0,37,23.0,,
Patrick Beverley,2015-2016,2100.5,71,29.6,,
Patrick Beverley,2014-2015,1643.0,56,29.3,,
Patrick Beverley,2013-2014,1568.0,54,29.0,,
Patrick Beverley,2012-2013,864.5,41,21.1,,
Patrick Beverley,2016-2017,2317.5,67,34.6,,
Patrick Patterson,2020-2021,485.5,38,12.8,,
Patrick Patterson,2019-2020,683.0,59,11.6,,
Patrick Patterson,2018-2019,610.5,63,9.7,,
Patrick Patterson,2017-2018,965.0,82,11.8,,
Patrick Patterson,2015-2016,1540.0,79,19.5,,
Patrick Patterson,2016-2017,1279.5,65,19.7,,
Patrick Patterson,2013-2014,1587.0,63,25.2,,
Patrick Patterson,2012-2013,1914.0,71,27.0,,
Patrick Patterson,2011-2012,1362.0,64,21.3,,
Patrick Patterson,2010-2011,1066.0,52,20.5,,
Patrick Patterson,2014-2015,2125.0,81,26.2,,
Patrick Williams,2020-2021,1792.0,71,25.2,,
Patrick Williams,2021-2022,392.0,17,23.1,,
Patty Mills,2017-2018,1857.5,82,22.7,,
Patty Mills,2021-2022,1955.5,81,24.1,,
Patty Mills,2020-2021,1538.5,68,22.6,,
Patty Mills,2018-2019,1936.0,82,23.6,,
Patty Mills,2016-2017,1943.5,80,24.3,,
Patty Mills,2019-2020,1554.5,66,23.6,,
Patty Mills,2014-2015,789.5,51,15.5,,
Patty Mills,2010-2011,779.0,64,12.2,,
Patty Mills,2011-2012,363.0,16,22.7,,
Patty Mills,2015-2016,1745.5,81,21.5,,
Patty Mills,2012-2013,649.0,58,11.2,,
Patty Mills,2013-2014,1861.0,80,23.3,,
Paul George,2021-2022,1769.0,31,57.1,107.0,16.5
Paul George,2020-2021,2923.0,54,54.1,104.0,28.1
Paul George,2019-2020,2297.0,48,47.9,97.0,23.7
Paul George,2018-2019,5022.5,77,65.2,,
Paul George,2016-2017,3851.0,75,51.3,,
Paul George,2017-2018,3841.5,79,48.6,,
Paul George,2014-2015,105.5,6,17.6,,
Paul George,2013-2014,3938.5,80,49.2,,
Paul George,2012-2013,3795.0,79,48.0,,
Paul George,2011-2012,2196.5,66,33.3,,
Paul George,2010-2011,1229.0,61,20.1,,
Paul George,2015-2016,4238.0,81,52.3,,
Paul Millsap,2021-2022,418.5,33,12.7,,
Paul Millsap,2020-2021,1505.5,56,26.9,3.0,501.8
Paul Millsap,2019-2020,1618.0,51,31.7,2.0,809.0
Paul Millsap,2018-2019,2684.0,70,38.3,,
Paul Millsap,2017-2018,1514.5,38,39.9,,
Paul Millsap,2016-2017,3386.5,69,49.1,,
Paul Millsap,2015-2016,4442.5,80,55.5,,
Paul Millsap,2013-2014,3869.0,74,52.3,,
Paul Millsap,2012-2013,3375.0,78,43.3,,
Paul Millsap,2011-2012,3218.0,64,50.3,,
Paul Millsap,2010-2011,3655.5,76,48.1,,
Paul Millsap,2014-2015,3483.5,73,47.7,,
Paul Reed,2020-2021,319.0,26,12.3,,
Paul Reed,2021-2022,485.0,38,12.8,,
Paul Watson,2019-2020,89.5,10,9.0,,
Paul Watson,2020-2021,263.5,27,9.8,,
Paul Watson,2021-2022,96.5,9,10.7,,
Payton Pritchard,2021-2022,1145.5,71,16.1,,
Payton Pritchard,2020-2021,1247.5,66,18.9,,
Petr Cornelie,2021-2022,42.5,13,3.3,,
Precious Achiuwa,2020-2021,908.0,61,14.9,,
Precious Achiuwa,2021-2022,1902.0,73,26.1,,
Quentin Grimes,2021-2022,673.5,46,14.6,,
Quinn Cook,2016-2017,174.0,14,12.4,,
Quinn Cook,2017-2018,747.0,33,22.6,,
Quinn Cook,2018-2019,1167.0,74,15.8,,
Quinn Cook,2019-2020,469.5,44,10.7,,
Quinn Cook,2020-2021,172.5,23,7.5,,
R.J. Hampton,2021-2022,1247.5,64,19.5,,
R.J. Hampton,2020-2021,933.0,51,18.3,,
RJ Barrett,2019-2020,1740.0,56,31.1,11.0,158.2
RJ Barrett,2020-2021,2803.0,72,38.9,17.0,164.9
RJ Barrett,2021-2022,2796.0,70,39.9,,
RJ Nembhard Jr.,2021-2022,55.0,14,3.9,,
Rajon Rondo,2021-2022,778.5,39,20.0,,
Rajon Rondo,2020-2021,936.0,45,20.8,,
Rajon Rondo,2019-2020,1188.5,48,24.8,1.0,1188.5
Rajon Rondo,2018-2019,1858.0,46,40.4,,
Rajon Rondo,2017-2018,2498.5,65,38.4,,
Rajon Rondo,2016-2017,2382.5,69,34.5,,
Rajon Rondo,2015-2016,4144.5,72,57.6,,
Rajon Rondo,2014-2015,2677.0,68,39.4,,
Rajon Rondo,2013-2014,1382.0,29,47.7,,
Rajon Rondo,2012-2013,2251.0,38,59.2,,
Rajon Rondo,2011-2012,2917.5,53,55.0,,
Rajon Rondo,2010-2011,3683.5,68,54.2,,
Raul Neto,2021-2022,1443.5,70,20.6,,
Raul Neto,2020-2021,1484.0,64,23.2,,
Raul Neto,2019-2020,700.0,54,13.0,,
Raul Neto,2017-2018,485.5,41,11.8,,
Raul Neto,2016-2017,311.5,40,7.8,,
Raul Neto,2015-2016,1207.0,81,14.9,,
Raul Neto,2018-2019,563.5,37,15.2,,
Reggie Bullock,2018-2019,1515.5,63,24.1,,
Reggie Bullock,2013-2014,236.5,42,5.6,,
Reggie Bullock,2014-2015,184.0,36,5.1,,
Reggie Bullock,2015-2016,343.5,37,9.3,,
Reggie Bullock,2016-2017,387.5,31,12.5,,
Reggie Bullock,2017-2018,1538.0,62,24.8,,
Reggie Bullock,2019-2020,543.5,29,18.7,,
Reggie Bullock,2020-2021,1589.0,65,24.4,,
Reggie Bullock,2021-2022,1346.5,68,19.8,,
Reggie Jackson,2018-2019,2756.0,82,33.6,,
Reggie Jackson,2017-2018,1546.0,45,34.4,,
Reggie Jackson,2021-2022,2797.5,75,37.3,,
Reggie Jackson,2019-2020,897.0,31,28.9,,
Reggie Jackson,2016-2017,1785.5,52,34.3,,
Reggie Jackson,2020-2021,1748.0,67,26.1,,
Reggie Jackson,2014-2015,3100.5,77,40.3,,
Reggie Jackson,2013-2014,2575.5,78,33.0,,
Reggie Jackson,2012-2013,1039.5,70,14.8,,
Reggie Jackson,2015-2016,3440.5,78,44.1,,
Reggie Jackson,2011-2012,413.0,45,9.2,,
Reggie Perry,2020-2021,259.0,26,10.0,,
Reggie Perry,2021-2022,261.5,10,26.2,,
Richaun Holmes,2021-2022,1452.5,45,32.3,,
Richaun Holmes,2020-2021,2822.5,61,46.3,11.0,256.6
Richaun Holmes,2019-2020,1810.0,44,41.1,,
Richaun Holmes,2017-2018,1016.5,48,21.2,,
Richaun Holmes,2016-2017,1671.5,57,29.3,,
Richaun Holmes,2015-2016,840.5,51,16.5,,
Richaun Holmes,2018-2019,1858.0,70,26.5,,
Ricky Rubio,2017-2018,2910.0,77,37.8,,
Ricky Rubio,2020-2021,2227.5,68,32.8,28.0,79.6
Ricky Rubio,2021-2022,1339.0,34,39.4,,
Ricky Rubio,2018-2019,2500.5,68,36.8,,
Ricky Rubio,2016-2017,3508.5,75,46.8,,
Ricky Rubio,2019-2020,3161.0,65,48.6,125.0,25.3
Ricky Rubio,2014-2015,984.5,22,44.8,,
Ricky Rubio,2013-2014,3483.5,80,43.5,,
Ricky Rubio,2012-2013,2339.5,57,41.0,,
Ricky Rubio,2011-2012,1763.0,41,43.0,,
Ricky Rubio,2015-2016,3309.0,76,43.5,,
Rob Edwards,2021-2022,3.5,2,1.8,,
Robert Covington,2021-2022,2032.0,71,28.6,,
Robert Covington,2020-2021,2180.5,70,31.2,27.0,80.8
Robert Covington,2018-2019,1306.5,35,37.3,,
Robert Covington,2017-2018,2753.5,80,34.4,,
Robert Covington,2019-2020,2484.0,70,35.5,8.0,310.5
Robert Covington,2015-2016,2101.0,67,31.4,,
Robert Covington,2014-2015,2072.5,70,29.6,,
Robert Covington,2013-2014,33.5,6,5.6,,
Robert Covington,2016-2017,2435.5,67,36.4,,
Robert Williams III,2018-2019,421.5,32,13.2,,
Robert Williams III,2019-2020,638.5,29,22.0,,
Robert Williams III,2020-2021,1822.5,52,35.0,,
Robert Williams III,2021-2022,2951.0,61,48.4,,
Robert Woodard II,2020-2021,58.5,13,4.5,,
Robert Woodard II,2021-2022,32.0,12,2.7,,
Robin Lopez,2018-2019,1888.5,74,25.5,,
Robin Lopez,2021-2022,728.5,36,20.2,,
Robin Lopez,2020-2021,1648.0,71,23.2,,
Robin Lopez,2019-2020,916.5,66,13.9,,
Robin Lopez,2016-2017,2621.5,81,32.4,,
Robin Lopez,2017-2018,1943.5,64,30.4,,
Robin Lopez,2014-2015,1869.0,59,31.7,,
Robin Lopez,2010-2011,1111.5,67,16.6,,
Robin Lopez,2011-2012,1048.5,64,16.4,,
Robin Lopez,2015-2016,2875.0,82,35.1,,
Robin Lopez,2013-2014,3291.5,81,40.6,,
Robin Lopez,2012-2013,2721.0,82,33.2,,
Rodney Hood,2014-2015,966.5,50,19.3,,
Rodney Hood,2015-2016,2438.5,79,30.9,,
Rodney Hood,2016-2017,1495.0,59,25.3,,
Rodney Hood,2017-2018,1688.5,60,28.1,,
Rodney Hood,2018-2019,1733.0,72,24.1,,
Rodney Hood,2019-2020,533.5,21,25.4,,
Rodney Hood,2020-2021,595.0,55,10.8,,
Rodney Hood,2021-2022,441.5,52,8.5,,
Rodney McGruder,2021-2022,681.5,51,13.4,,
Rodney McGruder,2020-2021,220.5,16,13.8,,
Rodney McGruder,2019-2020,566.0,56,10.1,,
Rodney McGruder,2016-2017,1413.0,78,18.1,,
Rodney McGruder,2017-2018,246.0,18,13.7,,
Rodney McGruder,2018-2019,1292.5,66,19.6,,
Romeo Langford,2019-2020,217.0,32,6.8,,
Romeo Langford,2020-2021,167.5,18,9.3,,
Romeo Langford,2021-2022,580.0,48,12.1,,
Royce O'Neale,2021-2022,1964.0,77,25.5,,
Royce O'Neale,2020-2021,1875.0,71,26.4,,
Royce O'Neale,2017-2018,1038.5,69,15.1,,
Royce O'Neale,2018-2019,1350.5,82,16.5,,
Royce O'Neale,2019-2020,1683.0,71,23.7,,
Rudy Gay,2021-2022,1090.5,55,19.8,,
Rudy Gay,2020-2021,1721.0,63,27.3,1.0,1721.0
Rudy Gay,2019-2020,1822.0,67,27.2,1.0,1822.0
Rudy Gay,2018-2019,2538.5,69,36.8,,
Rudy Gay,2017-2018,1622.0,57,28.5,,
Rudy Gay,2016-2017,1359.0,30,45.3,,
Rudy Gay,2014-2015,3192.0,68,46.9,,
Rudy Gay,2013-2014,3291.0,72,45.7,,
Rudy Gay,2012-2013,3150.0,75,42.0,,
Rudy Gay,2011-2012,2917.0,65,44.9,,
Rudy Gay,2010-2011,2615.0,54,48.4,,
Rudy Gay,2015-2016,2862.0,70,40.9,,
Rudy Gobert,2021-2022,3942.5,66,59.7,104.0,37.9
Rudy Gobert,2020-2021,4108.0,71,57.9,88.0,46.7
Rudy Gobert,2019-2020,3893.5,68,57.3,93.0,41.9
Rudy Gobert,2017-2018,2850.5,56,50.9,,
Rudy Gobert,2018-2019,5049.5,81,62.3,,
Rudy Gobert,2015-2016,2546.0,61,41.7,,
Rudy Gobert,2013-2014,449.0,43,10.4,,
Rudy Gobert,2016-2017,4603.5,81,56.8,,
Rudy Gobert,2014-2015,3309.5,82,40.4,,
Rui Hachimura,2019-2020,1581.0,48,32.9,,
Rui Hachimura,2020-2021,1747.5,57,30.7,5.0,349.5
Rui Hachimura,2021-2022,1036.5,42,24.7,,
Russell Westbrook,2021-2022,4133.0,78,53.0,,
Russell Westbrook,2020-2021,5442.5,65,83.7,196.0,27.8
Russell Westbrook,2019-2020,3899.0,57,68.4,160.0,24.4
Russell Westbrook,2018-2019,5936.0,73,81.3,,
Russell Westbrook,2017-2018,6420.0,80,80.2,,
Russell Westbrook,2016-2017,7319.0,81,90.4,,
Russell Westbrook,2014-2015,4965.5,67,74.1,,
Russell Westbrook,2013-2014,2506.0,45,55.7,,
Russell Westbrook,2012-2013,4931.0,82,60.1,,
Russell Westbrook,2011-2012,3523.5,66,53.4,,
Russell Westbrook,2010-2011,5009.0,82,61.1,,
Russell Westbrook,2015-2016,6088.5,80,76.1,,
Ryan Arcidiacono,2021-2022,38.5,10,3.8,,
Ryan Arcidiacono,2020-2021,401.5,44,9.1,,
Ryan Arcidiacono,2018-2019,1763.5,81,21.8,,
Ryan Arcidiacono,2017-2018,188.0,24,7.8,,
Ryan Arcidiacono,2019-2020,740.0,58,12.8,,
Saben Lee,2020-2021,967.0,48,20.1,,
Saben Lee,2021-2022,735.5,37,19.9,,
Saddiq Bey,2020-2021,1873.0,70,26.8,,
Saddiq Bey,2021-2022,3029.0,82,36.9,,
Sam Dekker,2018-2019,811.5,47,17.3,,
Sam Dekker,2021-2022,0.0,1,0.0,,
Sam Dekker,2017-2018,778.5,73,10.7,,
Sam Dekker,2016-2017,1380.0,77,17.9,,
Sam Dekker,2015-2016,4.0,3,1.3,,
Sam Hauser,2021-2022,158.5,26,6.1,,
Sam Merrill,2020-2021,223.5,30,7.4,,
Sam Merrill,2021-2022,42.0,6,7.0,,
Sandro Mamukelashvili,2021-2022,439.5,41,10.7,,
Santi Aldama,2021-2022,379.5,32,11.9,,
Scottie Barnes,2021-2022,3337.0,74,45.1,,
Scottie Lewis,2021-2022,6.5,2,3.2,,
Sean McDermott,2020-2021,94.0,18,5.2,,
Sekou Doumbouya,2021-2022,42.5,2,21.2,,
Sekou Doumbouya,2020-2021,672.0,56,12.0,,
Sekou Doumbouya,2019-2020,537.5,38,14.1,,
Semi Ojeleye,2017-2018,511.5,72,7.1,,
Semi Ojeleye,2018-2019,418.5,56,7.5,,
Semi Ojeleye,2019-2020,627.0,69,9.1,,
Semi Ojeleye,2020-2021,623.0,56,11.1,,
Semi Ojeleye,2021-2022,265.0,30,8.8,,
Serge Ibaka,2014-2015,2779.5,64,43.4,,
Serge Ibaka,2020-2021,1371.0,41,33.4,19.0,72.2
Serge Ibaka,2019-2020,2245.5,55,40.8,4.0,561.4
Serge Ibaka,2018-2019,3132.5,74,42.3,,
Serge Ibaka,2017-2018,2466.0,76,32.4,,
Serge Ibaka,2016-2017,3069.5,79,38.9,,
Serge Ibaka,2013-2014,3883.0,79,49.2,,
Serge Ibaka,2021-2022,1072.5,54,19.9,,
Serge Ibaka,2012-2013,3505.5,80,43.8,,
Serge Ibaka,2011-2012,2697.0,66,40.9,,
Serge Ibaka,2010-2011,2969.0,82,36.2,,
Serge Ibaka,2015-2016,2828.0,78,36.3,,
Seth Curry,2020-2021,1598.0,57,28.0,8.0,199.8
Seth Curry,2019-2020,1670.5,64,26.1,,
Seth Curry,2021-2022,2198.5,64,34.4,,
Seth Curry,2018-2019,1180.5,74,16.0,,
Seth Curry,2015-2016,681.0,44,15.5,,
Seth Curry,2014-2015,2.5,2,1.2,,
Seth Curry,2013-2014,11.5,2,5.8,,
Seth Curry,2016-2017,2069.5,70,29.6,,
Shai Gilgeous-Alexander,2018-2019,2438.5,82,29.7,,
Shai Gilgeous-Alexander,2019-2020,3190.0,70,45.6,2.0,1595.0
Shai Gilgeous-Alexander,2020-2021,1907.0,35,54.5,93.0,20.5
Shai Gilgeous-Alexander,2021-2022,3211.0,56,57.3,,
Shake Milton,2019-2020,901.5,40,22.5,,
Shake Milton,2018-2019,245.0,20,12.2,,
Shake Milton,2020-2021,1793.0,63,28.5,,
Shake Milton,2021-2022,1200.5,55,21.8,,
Shaq Buchanan,2021-2022,8.0,2,4.0,,
Shaquille Harrison,2020-2021,256.0,34,7.5,,
Shaquille Harrison,2019-2020,678.0,43,15.8,,
Shaquille Harrison,2021-2022,19.5,2,9.8,,
Shaquille Harrison,2017-2018,492.5,23,21.4,,
Shaquille Harrison,2018-2019,1520.5,73,20.8,,
Sharife Cooper,2021-2022,12.0,13,0.9,,
Skylar Mays,2021-2022,198.5,28,7.1,,
Skylar Mays,2020-2021,325.5,33,9.9,,
Solomon Hill,2021-2022,77.5,13,6.0,,
Solomon Hill,2019-2020,955.0,59,16.2,,
Solomon Hill,2020-2021,943.5,71,13.3,,
Solomon Hill,2018-2019,594.0,44,13.5,,
Solomon Hill,2013-2014,127.5,27,4.7,,
Solomon Hill,2016-2017,1625.5,80,20.3,,
Solomon Hill,2015-2016,788.5,59,13.4,,
Solomon Hill,2014-2015,1868.5,82,22.8,,
Solomon Hill,2017-2018,133.0,12,11.1,,
Spencer Dinwiddie,2014-2015,499.0,34,14.7,,
Spencer Dinwiddie,2015-2016,139.0,12,11.6,,
Spencer Dinwiddie,2016-2017,1347.5,59,22.8,,
Spencer Dinwiddie,2017-2018,3034.0,80,37.9,,
Spencer Dinwiddie,2018-2019,2444.5,68,35.9,,
Spencer Dinwiddie,2019-2020,3043.0,64,47.5,,
Spencer Dinwiddie,2020-2021,62.0,3,20.7,9.0,6.9
Spencer Dinwiddie,2021-2022,2480.5,67,37.0,13.0,190.8
Stanley Johnson,2020-2021,888.5,61,14.6,,
Stanley Johnson,2019-2020,172.0,25,6.9,,
Stanley Johnson,2018-2019,1124.5,66,17.0,,
Stanley Johnson,2021-2022,945.5,48,19.7,,
Stanley Johnson,2016-2017,1024.0,77,13.3,,
Stanley Johnson,2015-2016,1417.5,72,19.7,,
Stanley Johnson,2017-2018,1534.0,69,22.2,,
Stephen Curry,2021-2022,3720.5,64,58.1,160.0,23.3
Stephen Curry,2020-2021,4116.5,63,65.3,157.0,26.2
Stephen Curry,2019-2020,249.0,5,49.8,181.0,1.4
Stephen Curry,2018-2019,4059.0,69,58.8,,
Stephen Curry,2016-2017,4693.0,79,59.4,,
Stephen Curry,2017-2018,3008.0,50,60.2,,
Stephen Curry,2014-2015,5010.5,80,62.6,,
Stephen Curry,2013-2014,4820.0,77,62.6,,
Stephen Curry,2012-2013,4385.0,78,56.2,,
Stephen Curry,2011-2012,1058.5,26,40.7,,
Stephen Curry,2010-2011,3433.5,74,46.4,,
Stephen Curry,2015-2016,5449.0,78,69.9,,
Sterling Brown,2021-2022,507.0,49,10.3,,
Sterling Brown,2017-2018,617.5,54,11.4,,
Sterling Brown,2018-2019,958.0,58,16.5,,
Sterling Brown,2019-2020,720.5,52,13.9,,
Sterling Brown,2020-2021,1129.0,51,22.1,,
Steven Adams,2020-2021,1955.5,58,33.7,17.0,115.0
Steven Adams,2019-2020,2635.5,63,41.8,30.0,87.8
Steven Adams,2021-2022,2858.0,76,37.6,5.0,571.6
Steven Adams,2018-2019,3800.5,80,47.5,,
Steven Adams,2013-2014,1162.5,79,14.7,,
Steven Adams,2016-2017,2909.5,80,36.4,,
Steven Adams,2015-2016,2242.0,80,28.0,,
Steven Adams,2014-2015,2018.0,70,28.8,,
Steven Adams,2017-2018,3513.0,76,46.2,,
Svi Mykhailiuk,2018-2019,297.5,42,7.1,,
Svi Mykhailiuk,2019-2020,1088.5,56,19.4,,
Svi Mykhailiuk,2020-2021,1222.5,66,18.5,,
Svi Mykhailiuk,2021-2022,582.5,56,10.4,,
T.J. McConnell,2021-2022,847.5,27,31.4,,
T.J. McConnell,2020-2021,2623.5,69,38.0,,
T.J. McConnell,2019-2020,1842.0,71,25.9,,
T.J. McConnell,2015-2016,1960.0,81,24.2,,
T.J. McConnell,2017-2018,1863.0,76,24.5,,
T.J. McConnell,2016-2017,2588.0,81,32.0,,
T.J. McConnell,2018-2019,1694.0,76,22.3,,
T.J. Warren,2019-2020,2801.5,67,41.8,2.0,1400.8
T.J. Warren,2020-2021,116.5,4,29.1,34.0,3.4
T.J. Warren,2018-2019,1655.0,43,38.5,,
T.J. Warren,2017-2018,2767.5,65,42.6,,
T.J. Warren,2016-2017,2353.5,66,35.7,,
T.J. Warren,2015-2016,1191.5,47,25.4,,
T.J. Warren,2014-2015,590.0,40,14.8,,
Tacko Fall,2019-2020,69.0,7,9.9,,
