Player,Price,,,,
Devonte' Graham,49,,"Devonte' Graham?(Cha - PG,SG)",49,Devonte' Graham?
Aaron Gordon,36,,"Aaron Gordon?(Orl - SF,PF)",36,Aaron Gordon?
Wendell Carter Jr.,14,,Wendell Carter Jr.?(Chi - C),14,Wendell Carter Jr.?
Montrezl Harrell,28,,"Montrezl Harrell?(LAL - PF,C)",28,Montrezl Harrell?
Spencer Dinwiddie,13,,"Spencer Dinwiddie?(Bkn - PG,SG)",13,Spencer Dinwiddie?
T.J. Warren,24,,"T.J. Warren?(Ind - SF,PF)",24,T.J. Warren?
Julius Randle,46,,"Julius Randle?(NY - PF,C)",46,Julius Randle?
Tyler Herro,21,,"Tyler Herro?(Mia - PG,SG,SF)",21,Tyler Herro?
Klay Thompson,4,,"Klay Thompson?(GS - SG,SF)",4,Klay Thompson?
Blake Griffin,18,,"Blake Griffin?(Bkn - PF,C)",18,Blake Griffin?
Victor Oladipo,31,,"Victor Oladipo?(Hou - SG,SF)",31,Victor Oladipo?
Jerami Grant,30,,"Jerami Grant?(Det - SF,PF)",30,Jerami Grant?
Lauri Markkanen,25,,"Lauri Markkanen?(Chi - PF,C)",25,Lauri Markkanen?
Danilo Gallinari,21,,"Danilo Gallinari?(Atl - SF,PF)",21,Danilo Gallinari?
Kelly Oubre Jr.,26,,"Kelly Oubre Jr.?(GS - SG,SF,PF)",26,Kelly Oubre Jr.?
Kemba Walker,7,,Kemba Walker?(Bos - PG),7,Kemba Walker?
Dejounte Murray,35,,"Dejounte Murray?(SA - PG,SG)",35,Dejounte Murray?
Brook Lopez,10,,Brook Lopez?(Mil - C),10,Brook Lopez?
Tristan Thompson,19,,"Tristan Thompson?(Bos - PF,C)",19,Tristan Thompson?
Thomas Bryant,18,,Thomas Bryant?(Was - C),18,Thomas Bryant?
Markelle Fultz,32,,"Markelle Fultz?(Orl - PG,SG)",32,Markelle Fultz?
Derrick White,3,,"Derrick White?(SA - PG,SG)",3,Derrick White?
Marvin Bagley III,26,,"Marvin Bagley III?(Sac - PF,C)",26,Marvin Bagley III?
Richaun Holmes,16,,"Richaun Holmes?(Sac - PF,C)",16,Richaun Holmes?
Elfrid Payton,16,,Elfrid Payton?(NY - PG),16,Elfrid Payton?
DeMarcus Cousins,10,,"DeMarcus Cousins?(Hou - PF,C)",10,DeMarcus Cousins?
Al Horford,24,,"Al Horford?(OKC - PF,C)",24,Al Horford?
Bogdan Bogdanovic,20,,"Bogdan Bogdanovic?(Atl - SG,SF,PF)",20,Bogdan Bogdanovic?
OG Anunoby,8,,"OG Anunoby?(Tor - SF,PF)",8,OG Anunoby?
LaMelo Ball,13,,"LaMelo Ball?(Cha - PG,SG)",13,LaMelo Ball?
Marcus Smart,4,,"Marcus Smart?(Bos - PG,SG)",4,Marcus Smart?
Mikal Bridges,5,,"Mikal Bridges?(Pho - SG,SF)",5,Mikal Bridges?
Derrick Rose,4,,"Derrick Rose?(NY - PG,SG)",4,Derrick Rose?
Brandon Clarke,7,,"Brandon Clarke?(Mem - SF,PF)",7,Brandon Clarke?
Evan Fournier,9,,"Evan Fournier?(Orl - SG,SF)",9,Evan Fournier?
Davis Bertans,8,,"Davis Bertans?(Was - PF,C)",8,Davis Bertans?
Bojan Bogdanovic,6,,"Bojan Bogdanovic?(Uta - SF,PF)",6,Bojan Bogdanovic?
Otto Porter Jr.,9,,"Otto Porter Jr.?(Chi - SF,PF)",9,Otto Porter Jr.?
PJ Washington,7,,"PJ Washington?(Cha - SF,PF,C)",7,PJ Washington?
Caris LeVert,6,,"Caris LeVert?(Ind - SG,SF)",6,Caris LeVert?
De'Andre Hunter,5,,"De'Andre Hunter?(Atl - SF,PF)",5,De'Andre Hunter?
Goran Dragic,4,,"Goran Dragic?(Mia - PG,SG)",4,Goran Dragic?
James Wiseman,5,,James Wiseman?(GS - C),5,James Wiseman?
Lou Williams,12,,"Lou Williams?(LAC - PG,SG)",12,Lou Williams?
Carmelo Anthony,3,,"Carmelo Anthony?(Por - SF,PF)",3,Carmelo Anthony?
Seth Curry,2,,"Seth Curry?(Phi - PG,SG)",2,Seth Curry?
Harrison Barnes,3,,"Harrison Barnes?(Sac - SF,PF)",3,Harrison Barnes?
Norman Powell,3,,"Norman Powell?(Tor - SG,SF)",3,Norman Powell?
Kevin Huerter,2,,"Kevin Huerter?(Atl - SG,SF)",2,Kevin Huerter?
Serge Ibaka,10,,"Serge Ibaka?(LAC - PF,C)",10,Serge Ibaka?
Cole Anthony,1,,Cole Anthony?(Orl - PG),1,Cole Anthony?
Derrick Favors,4,,"Derrick Favors?(Uta - PF,C)",4,Derrick Favors?
Miles Bridges,2,,"Miles Bridges?(Cha - SF,PF)",2,Miles Bridges?
Terry Rozier,5,,"Terry Rozier?(Cha - PG,SG)",5,Terry Rozier?
DeAndre Jordan,3,,DeAndre Jordan?(Bkn - C),3,DeAndre Jordan?
Dennis Schroder,5,,Dennis Schroder?(LAL - PG),5,Dennis Schroder?
Anthony Edwards,3,,Anthony Edwards?(Min - SG),3,Anthony Edwards?
RJ Barrett,7,,"RJ Barrett?(NY - SG,SF)",7,RJ Barrett?
Donte DiVincenzo,2,,"Donte DiVincenzo?(Mil - PG,SG)",2,Donte DiVincenzo?
Jarrett Allen,4,,Jarrett Allen?(Cle - C),4,Jarrett Allen?
Daniel Theis,1,,Daniel Theis?(Bos - C),1,Daniel Theis?
Darius Bazley,4,,"Darius Bazley?(OKC - SF,PF)",4,Darius Bazley?
Nerlens Noel,2,,"Nerlens Noel?(NY - PF,C)",2,Nerlens Noel?
Josh Richardson,3,,"Josh Richardson?(Dal - SG,SF)",3,Josh Richardson?
Joe Ingles,2,,"Joe Ingles?(Uta - SG,SF)",2,Joe Ingles?
Duncan Robinson,1,,"Duncan Robinson?(Mia - SG,SF)",1,Duncan Robinson?
Will Barton,4,,"Will Barton?(Den - SG,SF)",4,Will Barton?
Bobby Portis,1,,"Bobby Portis?(Mil - PF,C)",1,Bobby Portis?
Marquese Chriss,1,,"Marquese Chriss?(GS - PF,C)",1,Marquese Chriss?
Larry Nance Jr.,2,,"Larry Nance Jr.?(Cle - PF,C)",2,Larry Nance Jr.?
Isaac Okoro,1,,"Isaac Okoro?(Cle - SG,SF)",1,Isaac Okoro?
Jeff Teague,2,,"Jeff Teague?(Bos - PG,SG)",2,Jeff Teague?
Darius Garland,4,,Darius Garland?(Cle - PG),4,Darius Garland?
Dwight Powell,1,,"Dwight Powell?(Dal - PF,C)",1,Dwight Powell?
Rui Hachimura,2,,"Rui Hachimura?(Was - SF,PF)",2,Rui Hachimura?
